module	type	key	value	encodedValue	source	line
com.xiaoji.egggame.common.winemu_core	string	tp_AlignedAtomicsTitle	AlignedAtomics (对齐原子操作)	QWxpZ25lZEF0b21pY3MgKOWvuem9kOWOn+WtkOaTjeS9nCk=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	29
com.xiaoji.egggame.common.winemu_core	string	tp_BigBlockDesc	代码块构建策略	5Luj56CB5Z2X5p6E5bu6562W55Wl	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	30
com.xiaoji.egggame.common.winemu_core	string	tp_BigBlockTitle	BigBlock (大块代码优化)	QmlnQmxvY2sgKOWkp+Wdl+S7o+eggeS8mOWMlik=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	31
com.xiaoji.egggame.common.winemu_core	string	tp_Box64AVXDesc	AVX指令集支持级别	QVZY5oyH5Luk6ZuG5pSv5oyB57qn5Yir	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	32
com.xiaoji.egggame.common.winemu_core	string	tp_Box64AVXTitle	Box64AVX (AVX指令集)	Qm94NjRBVlggKEFWWOaMh+S7pOmbhik=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	33
com.xiaoji.egggame.common.winemu_core	string	tp_CallRetDesc	函数调用优化	5Ye95pWw6LCD55So5LyY5YyW	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	34
com.xiaoji.egggame.common.winemu_core	string	tp_CallRetTitle	CallRet (调用返回优化)	Q2FsbFJldCAo6LCD55So6L+U5Zue5LyY5YyWKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	35
com.xiaoji.egggame.common.winemu_core	string	tp_CpuTypeDesc	模拟的CPU厂商	5qih5ouf55qEQ1BV5Y6C5ZWG	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	36
com.xiaoji.egggame.common.winemu_core	string	tp_CpuTypeTitle	CpuType (CPU类型)	Q3B1VHlwZSAoQ1BV57G75Z6LKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	37
com.xiaoji.egggame.common.winemu_core	string	tp_DFDesc	延迟标志处理优化	5bu26L+f5qCH5b+X5aSE55CG5LyY5YyW	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	38
com.xiaoji.egggame.common.winemu_core	string	tp_DFTitle	DF (方向标志)	REYgKOaWueWQkeagh+W/lyk=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	39
com.xiaoji.egggame.common.winemu_core	string	tp_DIV0Desc	生成除零异常	55Sf5oiQ6Zmk6Zu25byC5bi4	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	40
com.xiaoji.egggame.common.winemu_core	string	tp_DIV0Title	DIV0 (除零异常)	RElWMCAo6Zmk6Zu25byC5bi4KQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	41
com.xiaoji.egggame.common.winemu_core	string	tp_DirtyDesc	脏页面处理策略	6ISP6aG16Z2i5aSE55CG562W55Wl	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	42
com.xiaoji.egggame.common.winemu_core	string	tp_DirtyTitle	Dirty (脏页处理)	RGlydHkgKOiEj+mhteWkhOeQhik=	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	43
com.xiaoji.egggame.common.winemu_core	string	tp_DynarecDesc	启用动态重编译器	5ZCv55So5Yqo5oCB6YeN57yW6K+R5Zmo	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	44
com.xiaoji.egggame.common.winemu_core	string	tp_DynarecTitle	Dynarec (动态重编译)	RHluYXJlYyAo5Yqo5oCB6YeN57yW6K+RKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	45
com.xiaoji.egggame.common.winemu_core	string	tp_FastNanDesc	快速NaN值处理，性能优先	5b+r6YCfTmFO5YC85aSE55CG77yM5oCn6IO95LyY5YWI	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	46
com.xiaoji.egggame.common.winemu_core	string	tp_FastNanTitle	FastNan (快速NaN处理)	RmFzdE5hbiAo5b+r6YCfTmFO5aSE55CGKQ==	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	47
com.xiaoji.egggame.common.winemu_core	string	tp_FastRoundDesc	快速浮点舍入处理	5b+r6YCf5rWu54K56IiN5YWl5aSE55CG	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	48
com.xiaoji.egggame.common.winemu_core	string	tp_FastRoundTitle	FastRound (快速舍入)	RmFzdFJvdW5kICjlv6vpgJ/oiI3lhaUp	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	49
com.xiaoji.egggame.common.winemu_core	string	tp_HalfBarrierTSOEnabledDesc	未对齐加载存储半屏障原子	5pyq5a+56b2Q5Yqg6L295a2Y5YKo5Y2K5bGP6Zqc5Y6f5a2Q	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	50
com.xiaoji.egggame.common.winemu_core	string	tp_HalfBarrierTSOEnabledTitle	HalfBarrierTSOEnabled (半屏障TSO)	SGFsZkJhcnJpZXJUU09FbmFibGVkICjljYrlsY/pmpxUU08p	com.xiaoji.egggame.common.winemu_core/values-zh-rCN/strings.commonMain.cvr	51
